State,year,Served,InCare_Sep30,Entered,Exited,Waiting_Adoption,parental_rights_terminated,adopted
Arizona,FY 2016,29090,17118.000000000022,11729.000000000004,11972.000000000011,4713.000000000037,3378.9999999999936,3653.9999999999663
Arizona,FY 2017,26897,15031.000000000151,10056.99999999996,11865.999999999998,4748.999999999994,3295.0000000000055,4298.000000000004
Arizona,FY 2018,23909,13359.999999999856,9173.00000000007,10548.999999999996,4215.999999999999,2966.0000000000073,3925.9999999999927
Arkansas,FY 2009,7574,3656.999999999994,4160.999999999995,3917,850,420.9999999999992,601.0000000000008
Arkansas,FY 2010,7474,3756.0000000000036,3976.9999999999973,3717.999999999997,1603.9999999999989,812.0000000000016,597.0000000000006
Arkansas,FY 2011,7506,3732.0000000000077,3856.000000000009,3774.000000000004,1413.9999999999939,741.9999999999995,591.0000000000003
Arkansas,FY 2012,7513,3710.999999999998,3845.9999999999905,3801.9999999999995,1023.0000000000035,542.9999999999992,703.0000000000001
Arkansas,FY 2013,7411,3796.9999999999895,3798.000000000002,3614.0000000000036,993.9999999999969,641.9999999999987,690.9999999999968
Arkansas,FY 2014,7211,3806.0000000000027,3541.999999999999,3404.999999999995,1034.0000000000011,756.999999999997,743.0000000000006
Arkansas,FY 2015,7759.000000000011,4548.000000000011,4065.0000000000064,3213.0000000000027,1121.9999999999966,756.9999999999973,740.0000000000044
Arkansas,FY 2016,8285,4879.999999999996,4103.000000000009,3404.999999999996,1197.9999999999998,794.9999999999992,757.9999999999962
Arkansas,FY 2017,8544.999999999993,4775.999999999995,3777.9999999999927,3770.000000000006,1329.9999999999939,794.9999999999969,971.0000000000059
Arkansas,FY 2018,7811.0000000000055,4234.000000000012,3123,3578,1350.9999999999995,809.000000000001,1000.9999999999956
California,FY 2009,99797.0000000005,60582.99999999958,35243.0000000003,39214.99999999959,15664,8526.99999999999,7438.000000000105
California,FY 2010,92253.99999999949,56201.999999999985,33535.999999999985,36053.9999999996,14891.999999999927,7230.0000000000555,6459.000000000052
California,FY 2011,86563.00000000068,54753.99999999996,32170.99999999993,31809.99999999986,14630.000000000005,6928.000000000018,5710.000000000106
California,FY 2012,84820,54552.99999999939,31998.999999999844,30266.999999999887,13136.000000000107,6020.999999999843,5937.999999999988
California,FY 2013,86255,55383.00000000062,33756.99999999938,30871.999999999844,15666.999999999955,6562.000000000007,5540.999999999952
California,FY 2014,87087.00000000081,56771.00000000065,33696.00000000018,30317.000000000106,14096.000000000136,6378.999999999997,5470.9999999999045
California,FY 2015,87484,55983.00000000038,32205.000000000327,31501.000000000127,14179.99999999975,6616.99999999999,6078.999999999993
California,FY 2016,85896,54685.00000000004,31254.000000000196,31211.000000000422,14688.999999999936,6712.000000000005,6542.00000000013
California,FY 2017,80408,51868.99999999959,28016.000000000313,28539.000000000153,15096.999999999867,7107.0000000000955,6524.000000000037
California,FY 2018,78215.00000000065,52337.00000000058,27177.99999999993,25878.999999999935,14865.999999999989,7098.000000000048,6965.999999999989
Colorado,FY 2009,13584,7392.000000000016,6166.99999999999,6192.000000000013,1505.9999999999966,1242.9999999999984,1067.0000000000023
Colorado,FY 2010,12866,6980.000000000028,5752.999999999989,5886.000000000007,1245.999999999995,772.0000000000015,982.9999999999998
Colorado,FY 2011,11990,6487.999999999998,5299.999999999985,5502.000000000005,1098.000000000005,557.0000000000018,934.0000000000008
Colorado,FY 2012,11184,6002.999999999993,5042.000000000003,5180.99999999998,917.0000000000002,507.9999999999978,905.0000000000075
Colorado,FY 2013,10542,5850.999999999987,4820.000000000027,4690.999999999993,895.9999999999955,469.9999999999999,782.0000000000015
Colorado,FY 2014,10309,5786.999999999998,4686.000000000013,4521.9999999999945,1008.0000000000007,499.000000000001,769.0000000000002
Colorado,FY 2015,10449,5643.999999999961,4926.000000000001,4805.000000000009,925.9999999999977,530.9999999999994,820.0000000000022
Colorado,FY 2016,10629.999999999996,5733.000000000013,5277.000000000044,4898.000000000017,1037.9999999999989,567.9999999999986,839.0000000000049
Colorado,FY 2017,10577,5703.999999999982,5133.999999999991,4872.999999999994,953,514.0000000000026,948.0000000000027
Colorado,FY 2018,10283,5542.000000000007,4785.000000000001,4740.999999999998,997.000000000003,499.00000000000296,909.9999999999989
Connecticut,FY 2009,7733,4759.000000000002,2466.9999999999905,2973.9999999999955,1354.9999999999943,734.9999999999997,768.9999999999989
Connecticut,FY 2010,7127,4456.000000000017,2482.0000000000027,2671.0000000000014,1261.0000000000011,613.9999999999985,686.9999999999978
Connecticut,FY 2011,7025,4926.000000000001,2319.999999999994,2098.9999999999886,1343.9999999999977,577.0000000000002,610.999999999999
