created_date,tweet_text,lang
2019-12-02 01:13:03,"RT @AdoptUSKids: 19-year-old Lexandra Lutz spent several years in foster care, has traveled around the country, shaken important hands and…",en
2019-12-03 15:34:19,"RT @DTFA: Make a lifetime of impact on #GivingTuesday! If 150 ppl donate to the Foundation before midnight, City National Bank has pledged…",en
2019-12-07 18:04:33,We Filled the Beds! https://t.co/aGGApBKBTQ #adoption #adoptiveparnet #beds #fostercare #fosterparenting #largefamilies #newkids #summerfun,en
2019-12-06 16:19:16,"RT @AdoptUSKids: Last year, fewer children remained in U.S. foster care and more found forever homes https://t.co/veW5PqcPu1 #fostercare #a…",en
2019-12-02 04:08:53,"A complex thought with so many layers. Understand your own boundaries.

♥️🐼🐢 https://t.co/5XghwX5ogZ

#NewBook… https://t.co/6TOmZEehQP",en
2019-12-03 18:00:48,@amconmag The narrative that Children in fostercare are waiting to be adopted is marketing gimmick made up by the A… https://t.co/HLhIBMAEpt,en
2019-11-29 19:35:56,"Omg. How great this would be to fill my kids and foster kids stockings. 
$AuntEs2cents 
Me and @Champagnemoee would… https://t.co/QEAYnLQvtT",en
2019-12-05 21:29:52,"RT @DTFA: ""Knowing what they've been through and how they are is just amazing. We are so blessed to have them."" Barbara and her husband, Da…",en
2019-12-05 22:06:27,RT @AdoptUSKids: The members of the DeJong family are thankful Tristan joined their family when the teen was adopted from foster care. “We`…,en
2019-12-02 02:10:28,"RT @HolyCrossServ: Shopping for Cyber Monday on Amazon? 
Try Amazon Smile and a portion of the profits come right back to Holy Cross Servic…",en
2019-12-03 15:23:06,"RT @DTFA: If 150 ppl make a gift to the Foundation before midnight on #GivingTuesday, City National Bank has generously pledged an addition…",en
2019-12-01 12:45:45,"RT @dmills3710: #CPS #FamilyCourt #FosterCare #Adoption #MedicalKidnap 

                                         F.R.A.U.D.

“By seizing c…",en
2019-12-06 23:26:23,"Fundraiser for the CALL! #adoption #fostercare (@ Panda Express in Conway, AR) https://t.co/z1qHVruFoD https://t.co/hpvJkA9CoS",en
2019-12-06 18:47:01,@GOPWillie @lilkahlilah Both sides of issue get it wrong largely because they are ignorant of the Adoption and Fost… https://t.co/lnqv5MFG2y,en
2019-12-05 04:11:28,RT @JeanetteJoy: @pjervis @ChelseaKrost @suziday123 @The_ChrisBryant @magee333 @ConnieJack @Kedz @WVFRM @DONUTdailynews @itsallglamr @winni…,en
2019-12-07 18:56:38,RT @1burtonvoss: Thinking of making a difference in someone's life? Here's a big way. Listen to #TheAfterWord with @WebbHollandLyle and @Am…,en
